x,Ec=0V,Ec=-2V,Ec=-4V,Ec=-6V,Ec=-8V,Ec=-10V,Ec=-12V,Ec=-14V,Ec=-16V,Ec=-18V,Ec=-20V,Ec=-22V,Ec=-24V,Ec=-26V
0.371,0.076,,,,,,,,,,,,,
1,0.233,,,,,,,,,,,,,
2,0.49,,,,,,,,,,,,,
3,0.764,,,,,,,,,,,,,
4,1.05,,,,,,,,,,,,,
5,1.339,,,,,,,,,,,,,
6,1.628,,,,,,,,,,,,,
7,1.917,,,,,,,,,,,,,
8,2.207,,,,,,,,,,,,,
9,2.502,,,,,,,,,,,,,
10,2.808,,,,,,,,,,,,,
11,3.14,,,,,,,,,,,,,
12,3.539,,,,,,,,,,,,,
13,3.968,,,,,,,,,,,,,
14,4.361,,,,,,,,,,,,,
15,4.73,,,,,,,,,,,,,
16,5.083,,,,,,,,,,,,,
17,5.422,,,,,,,,,,,,,
18,5.747,,,,,,,,,,,,,
19,6.053,,,,,,,,,,,,,
20,6.346,,,,,,,,,,,,,
21,6.633,,,,,,,,,,,,,
22,6.927,0.225,,,,,,,,,,,,
23,7.238,0.283,,,,,,,,,,,,
24,7.568,0.341,,,,,,,,,,,,
25,7.914,0.403,,,,,,,,,,,,
26,8.278,0.47,,,,,,,,,,,,
27,8.664,0.545,,,,,,,,,,,,
28,9.079,0.635,,,,,,,,,,,,
29,9.529,0.741,,,,,,,,,,,,
30,10.009,0.847,,,,,,,,,,,,
31,10.496,0.935,,,,,,,,,,,,
32,10.962,1.016,,,,,,,,,,,,
33,11.38,1.108,,,,,,,,,,,,
34,11.749,1.224,,,,,,,,,,,,
35,12.098,1.375,,,,,,,,,,,,
36,12.463,1.552,,,,,,,,,,,,
37,12.859,1.741,,,,,,,,,,,,
38,13.25,1.924,,,,,,,,,,,,
39,13.607,2.116,,,,,,,,,,,,
40,13.938,2.333,,,,,,,,,,,,
41,14.269,2.57,,,,,,,,,,,,
42,14.622,2.811,0.146,,,,,,,,,,,
43,15.014,3.046,0.17,,,,,,,,,,,
44,15.448,3.265,0.195,,,,,,,,,,,
45,15.923,3.463,0.223,,,,,,,,,,,
46,16.438,3.656,0.256,,,,,,,,,,,
47,16.997,3.871,0.296,,,,,,,,,,,
48,17.552,4.143,0.344,,,,,,,,,,,
49,18.023,4.476,0.405,,,,,,,,,,,
50,18.402,4.82,0.482,,,,,,,,,,,
51,18.752,5.137,0.571,,,,,,,,,,,
52,19.127,5.413,0.671,,,,,,,,,,,
53,19.559,5.665,0.774,,,,,,,,,,,
54,20.004,5.907,0.873,,,,,,,,,,,
55,20.416,6.15,0.96,,,,,,,,,,,
56,20.787,6.405,1.035,,,,,,,,,,,
57,21.151,6.69,1.1,,,,,,,,,,,
58,21.54,7.021,1.158,,,,,,,,,,,
59,22.056,7.397,1.211,,,,,,,,,,,
60,22.867,7.801,1.263,,,,,,,,,,,
61,23.452,8.202,1.315,,,,,,,,,,,
62,23.901,8.59,1.37,,,,,,,,,,,
63,24.303,8.966,1.431,,,,,,,,,,,
64,24.684,9.329,1.502,,,,,,,,,,,
65,25.075,9.67,1.584,,,,,,,,,,,
66,25.539,9.995,1.683,,,,,,,,,,,
67,26.146,10.319,1.801,,,,,,,,,,,
68,26.818,10.645,1.934,,,,,,,,,,,
69,27.419,10.978,2.082,,,,,,,,,,,
70,27.904,11.323,2.241,,,,,,,,,,,
71,28.322,11.691,2.407,0.277,,,,,,,,,,
72,28.712,12.109,2.576,0.293,,,,,,,,,,
73,29.134,12.591,2.743,0.307,,,,,,,,,,
74,29.683,13.09,2.904,0.319,,,,,,,,,,
75,30.213,13.552,3.055,0.328,,,,,,,,,,
76,30.717,13.94,3.202,0.336,,,,,,,,,,
77,31.212,14.266,3.353,0.346,,,,,,,,,,
78,31.703,14.605,3.512,0.358,,,,,,,,,,
79,32.189,15.05,3.686,0.375,,,,,,,,,,
80,32.667,15.593,3.875,0.397,,,,,,,,,,
81,33.151,16.141,4.079,0.429,,,,,,,,,,
82,33.683,16.648,4.298,0.472,,,,,,,,,,
83,34.336,17.124,4.534,0.527,,,,,,,,,,
84,35.047,17.574,4.792,0.594,,,,,,,,,,
85,35.692,18.003,5.078,0.668,,,,,,,,,,
86,36.295,18.43,5.383,0.746,,,,,,,,,,
87,36.889,18.872,5.694,0.824,,,,,,,,,,
88,37.475,19.331,5.999,0.899,,,,,,,,,,
89,38.022,19.804,6.299,0.973,,,,,,,,,,
90,38.536,20.297,6.6,1.046,,,,,,,,,,
91,39.052,20.79,6.906,1.118,0.13,,,,,,,,,
92,39.6,21.24,7.221,1.191,0.138,,,,,,,,,
93,40.23,21.67,7.548,1.266,0.146,,,,,,,,,
94,40.948,22.108,7.887,1.345,0.155,,,,,,,,,
95,41.645,22.58,8.234,1.433,0.164,,,,,,,,,
96,42.243,23.097,8.582,1.538,0.174,,,,,,,,,
97,42.8,23.647,8.926,1.669,0.184,,,,,,,,,
98,43.361,24.193,9.267,1.83,0.195,,,,,,,,,
99,43.926,24.684,9.623,2.008,0.206,,,,,,,,,
100,44.482,25.103,10.013,2.186,0.217,,,,,,,,,
101,45.018,25.49,10.447,2.354,0.228,,,,,,,,,
102,45.564,25.908,10.899,2.51,0.239,,,,,,,,,
103,46.217,26.537,11.34,2.662,0.25,,,,,,,,,
104,47.306,27.22,11.745,2.814,0.263,,,,,,,,,
105,,27.841,12.098,2.973,0.278,,,,,,,,,
106,,28.414,12.4,3.142,0.299,,,,,,,,,
107,,28.925,12.674,3.326,0.33,,,,,,,,,
108,,29.41,12.946,3.53,0.384,,,,,,,,,
109,,29.887,13.241,3.752,0.467,,,,,,,,,
110,,30.336,13.6,3.988,0.557,,,,,,,,,
111,,30.736,14.045,4.233,0.627,,,,,,,,,
112,,31.218,14.547,4.482,0.682,,,,,,,,,
113,,31.781,15.056,4.725,0.731,,,,,,,,,
114,,32.374,15.532,4.957,0.779,,,,,,,,,
115,,32.977,15.98,5.184,0.829,,,,,,,,,
116,,33.582,16.413,5.418,0.882,,,,,,,,,
117,,34.175,16.837,5.665,0.939,,,,,,,,,
118,,34.73,17.261,5.923,0.999,,,,,,,,,
119,,35.222,17.692,6.187,1.064,,,,,,,,,
120,,35.71,18.131,6.452,1.133,,,,,,,,,
121,,36.248,18.576,6.715,1.206,,,,,,,,,
122,,36.899,19.025,6.971,1.288,0.073,,,,,,,,
123,,37.825,19.477,7.216,1.381,0.08,,,,,,,,
124,,38.674,19.935,7.457,1.489,0.088,,,,,,,,
125,,39.193,20.401,7.709,1.598,0.098,,,,,,,,
126,,39.605,20.879,7.984,1.695,0.108,,,,,,,,
127,,40.017,21.379,8.28,1.784,0.121,,,,,,,,
128,,40.504,21.924,8.587,1.87,0.137,,,,,,,,
129,,41.117,22.536,8.903,1.955,0.156,,,,,,,,
130,,41.891,23.163,9.225,2.043,0.183,,,,,,,,
131,,,23.724,9.552,2.137,0.22,,,,,,,,
132,,,24.242,9.885,2.242,0.277,,,,,,,,
133,,,24.74,10.219,2.357,0.355,,,,,,,,
134,,,25.231,10.547,2.482,0.445,,,,,,,,
135,,,25.719,10.865,2.611,0.52,,,,,,,,
136,,,26.205,11.175,2.749,0.577,,,,,,,,
137,,,26.691,11.484,2.9,0.623,,,,,,,,
138,,,27.175,11.792,3.072,0.662,,,,,,,,
139,,,27.657,12.103,3.274,0.696,,,,,,,,
140,,,28.143,12.421,3.497,0.728,,,,,,,,
141,,,28.643,12.752,3.72,0.756,,,,,,,,
142,,,29.173,13.097,3.921,0.784,,,,,,,,
143,,,29.761,13.444,4.091,0.811,,,,,,,,
144,,,30.395,13.786,4.242,0.839,,,,,,,,
145,,,30.99,14.135,4.385,0.871,,,,,,,,
146,,,31.468,14.505,4.526,0.908,,,,,,,,
147,,,31.866,14.908,4.677,0.954,,,,,,,,
148,,,32.256,15.356,4.844,1.012,,,,,,,,
149,,,32.721,15.819,5.022,1.082,,,,,,,,
150,,,33.32,16.247,5.206,1.161,,,,,,,,
151,,,33.925,16.602,5.387,1.247,,,,,,,,
152,,,34.43,16.897,5.569,1.339,0.28,,,,,,,
153,,,34.892,17.173,5.76,1.432,0.293,,,,,,,
154,,,35.36,17.459,5.969,1.528,0.307,,,,,,,
155,,,35.869,17.772,6.192,1.626,0.321,,,,,,,
156,,,36.437,18.121,6.428,1.724,0.336,,,,,,,
157,,,37.077,18.499,6.672,1.822,0.353,,,,,,,
158,,,37.815,18.907,6.924,1.92,0.372,,,,,,,
159,,,38.644,19.347,7.189,2.019,0.395,,,,,,,
160,,,,19.836,7.477,2.118,0.429,,,,,,,
161,,,,20.407,7.807,2.222,0.477,,,,,,,
162,,,,20.979,8.183,2.335,0.526,,,,,,,
163,,,,21.426,8.567,2.463,0.562,,,,,,,
164,,,,21.804,8.923,2.607,0.588,,,,,,,
165,,,,22.167,9.243,2.754,0.612,,,,,,,
166,,,,22.54,9.52,2.89,0.636,,,,,,,
167,,,,22.956,9.765,3.011,0.661,,,,,,,
168,,,,23.434,10.021,3.121,0.689,,,,,,,
169,,,,23.946,10.327,3.226,0.722,,,,,,,
170,,,,24.433,10.691,3.333,0.762,,,,,,,
171,,,,24.877,11.09,3.447,0.814,,,,,,,
172,,,,25.322,11.508,3.576,0.88,,,,,,,
173,,,,25.802,11.917,3.733,0.957,,,,,,,
174,,,,26.341,12.299,3.922,1.034,,,,,,,
175,,,,26.916,12.666,4.129,1.098,,,,,,,
176,,,,27.496,13.025,4.33,1.142,,,,,,,
177,,,,28.049,13.38,4.509,1.176,,,,,,,
178,,,,28.563,13.73,4.676,1.21,,,,,,,
179,,,,29.048,14.073,4.84,1.249,,,,,,,
180,,,,29.514,14.409,5.008,1.297,0.094,,,,,,
181,,,,29.971,14.741,5.188,1.355,0.087,,,,,,
182,,,,30.438,15.087,5.385,1.421,0.08,,,,,,
183,,,,30.938,15.486,5.593,1.493,0.075,,,,,,
184,,,,31.522,16.036,5.806,1.57,0.071,,,,,,
185,,,,32.518,16.614,6.016,1.649,0.068,,,,,,
186,,,,33.757,17.008,6.22,1.731,0.068,,,,,,
187,,,,34.311,17.322,6.421,1.814,0.071,,,,,,
188,,,,34.766,17.614,6.625,1.895,0.079,,,,,,
189,,,,35.223,17.911,6.837,1.974,0.095,,,,,,
190,,,,,18.249,7.064,2.046,0.122,,,,,,
191,,,,,18.652,7.31,2.11,0.164,,,,,,
192,,,,,19.104,7.571,2.17,0.229,,,,,,
193,,,,,19.557,7.844,2.228,0.321,,,,,,
194,,,,,20.001,8.122,2.289,0.428,,,,,,
195,,,,,20.439,8.403,2.353,0.532,,,,,,
196,,,,,20.877,8.684,2.423,0.617,,,,,,
197,,,,,21.338,8.966,2.502,0.675,,,,,,
198,,,,,21.838,9.248,2.593,0.712,,,,,,
199,,,,,22.358,9.531,2.697,0.735,,,,,,
200,,,,,22.876,9.815,2.815,0.751,,,,,,
201,,,,,23.372,10.101,2.946,0.761,,,,,,
202,,,,,23.818,10.392,3.09,0.769,,,,,,
203,,,,,24.205,10.686,3.243,0.779,,,,,,
204,,,,,24.556,10.984,3.403,0.797,,,,,,
205,,,,,24.912,11.287,3.569,0.831,,,,,,
206,,,,,25.32,11.596,3.738,0.883,,,,,,
207,,,,,25.867,11.914,3.907,0.948,0.015,,,,,
208,,,,,26.586,12.244,4.074,1.017,0.02,,,,,
209,,,,,27.245,12.595,4.239,1.085,0.026,,,,,
210,,,,,27.754,12.973,4.403,1.153,0.032,,,,,
211,,,,,28.208,13.369,4.568,1.22,0.039,,,,,
212,,,,,28.653,13.762,4.735,1.287,0.048,,,,,
213,,,,,29.096,14.14,4.902,1.355,0.057,,,,,
214,,,,,29.539,14.503,5.069,1.422,0.069,,,,,
215,,,,,30.009,14.857,5.237,1.489,0.084,,,,,
216,,,,,30.567,15.202,5.405,1.558,0.103,,,,,
217,,,,,31.353,15.543,5.575,1.631,0.129,,,,,
218,,,,,31.984,15.883,5.746,1.712,0.165,,,,,
219,,,,,32.41,16.224,5.928,1.795,0.214,,,,,
220,,,,,,16.57,6.13,1.881,0.279,,,,,
221,,,,,,16.938,6.354,1.972,0.352,,,,,
222,,,,,,17.401,6.595,2.068,0.422,,,,,
223,,,,,,17.83,6.845,2.173,0.486,,,,,
224,,,,,,18.222,7.101,2.285,0.544,,,,,
225,,,,,,18.604,7.364,2.401,0.596,,,,,
226,,,,,,18.982,7.633,2.517,0.644,,,,,
227,,,,,,19.36,7.909,2.632,0.689,,,,,
228,,,,,,19.738,8.192,2.746,0.731,,,,,
229,,,,,,20.119,8.477,2.86,0.773,,,,,
230,,,,,,20.507,8.757,2.973,0.813,,,,,
231,,,,,,20.908,9.027,3.085,0.853,,,,,
232,,,,,,21.342,9.289,3.197,0.892,,,,,
233,,,,,,21.834,9.55,3.308,0.931,,,,,
234,,,,,,22.22,9.815,3.42,0.97,,,,,
235,,,,,,22.558,10.092,3.533,1.01,,,,,
236,,,,,,22.936,10.388,3.651,1.05,,,,,
237,,,,,,23.412,10.693,3.774,1.092,,,,,
238,,,,,,23.988,10.986,3.906,1.136,,,,,
239,,,,,,24.578,11.256,4.053,1.185,,,,,
240,,,,,,25.096,11.516,4.225,1.241,,,,,
241,,,,,,25.56,11.779,4.437,1.307,,,,,
242,,,,,,26.017,12.055,4.691,1.384,0.029,,,,
243,,,,,,26.499,12.355,4.959,1.47,0.001,,,,
244,,,,,,27.013,12.687,5.195,1.561,-0.018,,,,
245,,,,,,27.551,13.044,5.398,1.653,-0.021,,,,
246,,,,,,28.108,13.405,5.586,1.743,0.005,,,,
247,,,,,,28.688,13.75,5.767,1.83,0.081,,,,
248,,,,,,,14.063,5.948,1.914,0.19,,,,
249,,,,,,,14.347,6.134,1.997,0.289,,,,
250,,,,,,,14.618,6.325,2.08,0.363,,,,
251,,,,,,,14.895,6.519,2.162,0.413,,,,
252,,,,,,,15.205,6.71,2.245,0.448,,,,
253,,,,,,,15.614,6.898,2.329,0.475,,,,
254,,,,,,,16.058,7.08,2.416,0.497,,,,
255,,,,,,,16.387,7.264,2.504,0.516,,,,
256,,,,,,,16.647,7.456,2.595,0.532,,,,
257,,,,,,,16.901,7.663,2.688,0.548,,,,
258,,,,,,,17.181,7.888,2.784,0.566,,,,
259,,,,,,,17.526,8.137,2.883,0.588,,,,
260,,,,,,,17.997,8.409,2.981,0.618,,,,
261,,,,,,,18.596,8.697,3.077,0.662,,,,
262,,,,,,,19.225,8.994,3.17,0.741,,,,
263,,,,,,,19.75,9.294,3.261,0.885,,,,
264,,,,,,,20.185,9.587,3.356,1.003,,,,
265,,,,,,,20.575,9.864,3.46,1.054,,,,
266,,,,,,,20.955,10.122,3.578,1.078,-0.016,,,
267,,,,,,,21.335,10.367,3.719,1.094,0.039,,,
268,,,,,,,21.72,10.605,3.888,1.109,0.094,,,
269,,,,,,,22.11,10.844,4.076,1.129,0.145,,,
270,,,,,,,22.504,11.091,4.269,1.164,0.193,,,
271,,,,,,,22.9,11.346,4.45,1.218,0.235,,,
272,,,,,,,23.296,11.609,4.608,1.289,0.271,,,
273,,,,,,,23.692,11.881,4.746,1.37,0.299,,,
274,,,,,,,24.087,12.162,4.876,1.449,0.318,,,
275,,,,,,,24.488,12.457,5.006,1.519,0.33,,,
276,,,,,,,24.912,12.767,5.141,1.573,0.337,,,
277,,,,,,,25.501,13.088,5.289,1.604,0.341,,,
278,,,,,,,,13.417,5.451,1.616,0.346,,,
279,,,,,,,,13.746,5.627,1.623,0.356,,,
280,,,,,,,,14.077,5.82,1.638,0.377,,,
281,,,,,,,,14.409,6.03,1.68,0.418,,,
282,,,,,,,,14.745,6.259,1.769,0.48,,,
283,,,,,,,,15.087,6.506,1.894,0.559,,,
284,,,,,,,,15.438,6.762,2.024,0.641,,,
285,,,,,,,,15.799,7.02,2.129,0.707,,,
286,,,,,,,,16.164,7.271,2.205,0.751,,,
287,,,,,,,,16.525,7.502,2.268,0.776,,,
288,,,,,,,,16.878,7.712,2.328,0.787,,,
289,,,,,,,,17.226,7.914,2.393,0.79,,,
290,,,,,,,,17.568,8.125,2.47,0.791,,,
291,,,,,,,,17.907,8.355,2.561,0.793,,,
292,,,,,,,,18.241,8.608,2.663,0.801,,,
293,,,,,,,,18.569,8.873,2.772,0.818,,,
294,,,,,,,,18.897,9.145,2.882,0.845,,,
295,,,,,,,,19.249,9.417,2.987,0.881,,,
296,,,,,,,,19.651,9.683,3.087,0.927,,,
297,,,,,,,,20.088,9.937,3.19,0.981,,,
298,,,,,,,,20.529,10.179,3.306,1.043,,,
299,,,,,,,,20.954,10.412,3.451,1.112,,,
300,,,,,,,,21.359,10.64,3.613,1.189,,,
301,,,,,,,,21.752,10.871,3.76,1.271,,,
302,,,,,,,,,11.118,3.874,1.356,-0.002,,
303,,,,,,,,,11.388,3.976,1.439,0.023,,
304,,,,,,,,,11.683,4.09,1.518,0.047,,
305,,,,,,,,,11.994,4.244,1.592,0.071,,
306,,,,,,,,,12.316,4.44,1.661,0.094,,
307,,,,,,,,,12.646,4.664,1.725,0.116,,
308,,,,,,,,,12.982,4.883,1.786,0.136,,
309,,,,,,,,,13.314,5.081,1.848,0.155,,
310,,,,,,,,,13.596,5.271,1.915,0.174,,
311,,,,,,,,,13.804,5.458,1.988,0.195,,
312,,,,,,,,,13.973,5.642,2.071,0.22,,
313,,,,,,,,,14.142,5.826,2.165,0.253,,
314,,,,,,,,,14.348,6.008,2.267,0.298,,
315,,,,,,,,,14.675,6.191,2.375,0.36,,
316,,,,,,,,,15.181,6.38,2.487,0.436,,
317,,,,,,,,,15.636,6.6,2.597,0.522,,
318,,,,,,,,,15.976,6.868,2.704,0.609,,
319,,,,,,,,,16.264,7.16,2.809,0.69,,
320,,,,,,,,,16.522,7.455,2.914,0.758,,
321,,,,,,,,,16.764,7.74,3.023,0.816,,
322,,,,,,,,,17.009,8.006,3.137,0.865,,
323,,,,,,,,,17.282,8.245,3.253,0.906,,
324,,,,,,,,,17.607,8.457,3.363,0.939,0.08,
325,,,,,,,,,17.992,8.65,3.464,0.966,0.094,
326,,,,,,,,,18.419,8.833,3.553,0.991,0.106,
327,,,,,,,,,18.863,9.017,3.637,1.017,0.119,
328,,,,,,,,,19.226,9.218,3.719,1.045,0.131,
329,,,,,,,,,,9.457,3.808,1.078,0.142,
330,,,,,,,,,,9.743,3.919,1.115,0.154,
331,,,,,,,,,,10.05,4.07,1.156,0.166,
332,,,,,,,,,,10.346,4.249,1.203,0.18,
333,,,,,,,,,,10.612,4.427,1.255,0.196,
334,,,,,,,,,,10.854,4.598,1.316,0.214,
335,,,,,,,,,,11.082,4.76,1.391,0.237,
336,,,,,,,,,,11.305,4.915,1.49,0.266,
337,,,,,,,,,,11.528,5.064,1.622,0.305,
338,,,,,,,,,,11.759,5.209,1.768,0.356,
339,,,,,,,,,,12.018,5.352,1.891,0.418,
340,,,,,,,,,,12.321,5.496,1.988,0.482,
341,,,,,,,,,,12.57,5.643,2.073,0.538,
342,,,,,,,,,,12.809,5.795,2.153,0.582,
343,,,,,,,,,,13.096,5.953,2.232,0.619,
344,,,,,,,,,,13.495,6.118,2.316,0.649,
345,,,,,,,,,,14.002,6.291,2.413,0.674,
346,,,,,,,,,,14.487,6.47,2.52,0.695,
347,,,,,,,,,,14.884,6.657,2.617,0.712,
348,,,,,,,,,,15.223,6.847,2.688,0.727,
349,,,,,,,,,,15.532,7.036,2.74,0.743,0.175
350,,,,,,,,,,15.826,7.22,2.789,0.765,0.209
351,,,,,,,,,,,7.405,2.843,0.796,0.241
352,,,,,,,,,,,7.595,2.91,0.846,0.271
353,,,,,,,,,,,7.799,2.997,0.925,0.298
354,,,,,,,,,,,8.029,3.113,1.028,0.319
355,,,,,,,,,,,8.287,3.254,1.13,0.333
356,,,,,,,,,,,8.546,3.41,1.207,0.337
357,,,,,,,,,,,8.781,3.571,1.255,0.33
358,,,,,,,,,,,8.995,3.72,1.288,0.315
359,,,,,,,,,,,9.192,3.851,1.314,0.295
360,,,,,,,,,,,9.371,3.969,1.341,0.278
361,,,,,,,,,,,9.534,4.081,1.377,0.271
362,,,,,,,,,,,9.694,4.193,1.438,0.283
363,,,,,,,,,,,9.87,4.309,1.53,0.311
364,,,,,,,,,,,10.068,4.431,1.632,0.352
365,,,,,,,,,,,10.277,4.561,1.715,0.398
366,,,,,,,,,,,10.49,4.706,1.777,0.443
367,,,,,,,,,,,10.701,4.88,1.827,0.487
368,,,,,,,,,,,10.925,5.104,1.872,0.536
369,,,,,,,,,,,11.19,5.309,1.916,0.598
370,,,,,,,,,,,11.504,5.463,1.962,0.674
371,,,,,,,,,,,11.835,5.593,2.015,0.758
372,,,,,,,,,,,12.148,5.715,2.082,0.84
373,,,,,,,,,,,12.431,5.835,2.163,0.915
374,,,,,,,,,,,12.698,5.96,2.25,0.978
375,,,,,,,,,,,,6.097,2.323,1.029
376,,,,,,,,,,,,6.256,2.382,1.068
377,,,,,,,,,,,,6.433,2.434,1.095
378,,,,,,,,,,,,6.609,2.483,1.114
379,,,,,,,,,,,,6.773,2.533,1.132
380,,,,,,,,,,,,6.928,2.585,1.155
381,,,,,,,,,,,,7.082,2.641,1.186
382,,,,,,,,,,,,7.238,2.708,1.222
383,,,,,,,,,,,,7.402,2.804,1.262
384,,,,,,,,,,,,7.58,2.924,1.304
385,,,,,,,,,,,,7.795,3.049,1.346
386,,,,,,,,,,,,8.066,3.173,1.388
387,,,,,,,,,,,,8.345,3.291,1.43
388,,,,,,,,,,,,8.552,3.399,1.471
389,,,,,,,,,,,,8.721,3.495,1.511
390,,,,,,,,,,,,8.88,3.58,1.551
391,,,,,,,,,,,,9.051,3.656,1.592
392,,,,,,,,,,,,9.295,3.728,1.639
393,,,,,,,,,,,,9.577,3.802,1.694
394,,,,,,,,,,,,9.823,3.882,1.762
395,,,,,,,,,,,,10.055,3.97,1.838
396,,,,,,,,,,,,10.281,4.067,1.919
397,,,,,,,,,,,,,4.177,1.998
398,,,,,,,,,,,,,4.304,2.076
399,,,,,,,,,,,,,4.468,2.169
400,,,,,,,,,,,,,4.69,2.283
400.855,,,,,,,,,,,,,,2.389
