x,Ec=0V,Ec=-1V,Ec=-2V,Ec=-3V,Ec=-4V,Ec=-5V,Ec=-6V,Ec=-7V,Ec=-8V,Ec=-9V,Ec=-10V,Ec=-11V,Ec=-12V,Ec=-13V,Ec=-14V,Ec=-15V,Ec=-16V
-0.042,,0.04,,,,,,,,,,,,,,,
0.022,0.054,,,,,,,,,,,,,,,,
2.228,2.091,,,,,,,,,,,,,,,,
4.91,4.03,,,,,,,,,,,,,,,,
4.963,,0.688,,,,,,,,,,,,,,,
6.991,6.015,,,,,,,,,,,,,,,,
9.901,8.099,,,,,,,,,,,,,,,,
9.987,,1.888,,,,,,,,,,,,,,,
12.24,10,,,,,,,,,,,,,,,,
14.722,,,0.188,,,,,,,,,,,,,,
14.726,,3.145,,,,,,,,,,,,,,,
14.937,11.943,,,,,,,,,,,,,,,,
17.344,14,,,,,,,,,,,,,,,,
19.878,,5.247,,,,,,,,,,,,,,,
19.931,,,1.13,,,,,,,,,,,,,,
20.076,16,,,,,,,,,,,,,,,,
22.27,17.986,,,,,,,,,,,,,,,,
24.283,20.058,,,,,,,,,,,,,,,,
24.825,,,2.027,,,,,,,,,,,,,,
24.878,,7.913,,,,,,,,,,,,,,,
25.405,,,,0.121,,,,,,,,,,,,,
26.214,22.029,,,,,,,,,,,,,,,,
27.694,,9.973,,,,,,,,,,,,,,,
28.319,24,,,,,,,,,,,,,,,,
29.851,,,3.131,,,,,,,,,,,,,,
29.857,,11.944,,,,,,,,,,,,,,,
30.053,26.016,,,,,,,,,,,,,,,,
30.1,,,,0.589,,,,,,,,,,,,,
32.015,28.043,,,,,,,,,,,,,,,,
32.445,,13.993,,,,,,,,,,,,,,,
32.912,,,4.076,,,,,,,,,,,,,,
34.177,30.014,,,,,,,,,,,,,,,,
34.821,,,,1.158,,,,,,,,,,,,,
34.978,,,4.95,,,,,,,,,,,,,,
35.006,,15.974,,,,,,,,,,,,,,,
35.911,32.018,,,,,,,,,,,,,,,,
37.081,,18.024,,,,,,,,,,,,,,,
37.312,,,6.084,,,,,,,,,,,,,,
37.901,34.012,,,,,,,,,,,,,,,,
39.414,,19.994,,,,,,,,,,,,,,,
39.977,36.084,,,,,,,,,,,,,,,,
40.002,,,7.566,,,,,,,,,,,,,,
40.078,,,,2.065,,,,,,,,,,,,,
41.518,,22.01,,,,,,,,,,,,,,,
41.74,38.044,,,,,,,,,,,,,,,,
42.076,,,,,0.168,,,,,,,,,,,,
43.13,,,9.943,,,,,,,,,,,,,,
43.594,,23.992,,,,,,,,,,,,,,,
43.729,40.138,,,,,,,,,,,,,,,,
45.104,,,,3.175,,,,,,,,,,,,,
45.452,42.114,,,,,,,,,,,,,,,,
45.842,,25.985,,,,,,,,,,,,,,,
45.878,,,11.989,,,,,,,,,,,,,,
47.568,44.08,,,,,,,,,,,,,,,,
47.803,,28.012,,,,,,,,,,,,,,,
48.627,,,14.053,,,,,,,,,,,,,,
49.239,,,,,,0.153,,,,,,,,,,,
49.639,46.091,,,,,,,,,,,,,,,,
49.938,,29.904,,,,,,,,,,,,,,,
50.173,,,,5.164,,,,,,,,,,,,,
50.209,,,,,1.195,,,,,,,,,,,,
50.766,,,16.001,,,,,,,,,,,,,,
51.122,48.094,,,,,,,,,,,,,,,,
51.899,,31.976,,,,,,,,,,,,,,,
53.221,,,18.003,,,,,,,,,,,,,,
53.374,50.087,,,,,,,,,,,,,,,,
53.889,,34.003,,,,,,,,,,,,,,,
55.02,,,,,,0.71,,,,,,,,,,,
55.089,,,,,2.043,,,,,,,,,,,,
55.089,,,,7.74,,,,,,,,,,,,,
55.127,52.107,,,,,,,,,,,,,,,,
55.134,,,19.987,,,,,,,,,,,,,,
55.707,,36.098,,,,,,,,,,,,,,,
57.018,54.038,,,,,,,,,,,,,,,,
57.227,,,21.998,,,,,,,,,,,,,,
57.698,,38.058,,,,,,,,,,,,,,,
58.814,,,,10.025,,,,,,,,,,,,,
59.021,56.076,,,,,,,,,,,,,,,,
59.411,,,24.009,,,,,,,,,,,,,,
59.775,,40.039,,,,,,,,,,,,,,,
60.125,,,,,,1.115,,,,,,,,,,,
60.294,,,,,3.19,,,,,,,,,,,,
60.662,58.07,,,,,,,,,,,,,,,,
61.374,,,,12.04,,,,,,,,,,,,,
61.458,,,26.074,,,,,,,,,,,,,,
61.594,,42.067,,,,,,,,,,,,,,,
62.642,60.081,,,,,,,,,,,,,,,,
62.817,,,,,3.999,,,,,,,,,,,,
63.44,,,27.978,,,,,,,,,,,,,,
63.642,,44.049,,,,,,,,,,,,,,,
63.821,,,,13.999,,,,,,,,,,,,,
64.78,62.083,,,,,,,,,,,,,,,,
65.1,,,,,,,0.32,,,,,,,,,,
65.139,,,,,,1.592,,,,,,,,,,,
65.252,,,,,4.965,,,,,,,,,,,,
65.376,,46.031,,,,,,,,,,,,,,,
65.622,,,30.051,,,,,,,,,,,,,,
66.325,,,,15.958,,,,,,,,,,,,,
66.783,64.067,,,,,,,,,,,,,,,,
67.627,,,,,6.079,,,,,,,,,,,,
67.68,,48.013,,,,,,,,,,,,,,,
67.966,,,31.982,,,,,,,,,,,,,,
68.56,66.096,,,,,,,,,,,,,,,,
68.856,,,,18.018,,,,,,,,,,,,,
69.698,,50.085,,,,,,,,,,,,,,,
70.105,,,33.975,,,,,,,,,,,,,,
70.24,,,,,,2.23,,,,,,,,,,,
70.364,,,,,,,0.787,,,,,,,,,,
70.426,,,,,7.428,,,,,,,,,,,,
70.472,68.09,,,,,,,,,,,,,,,,
71.189,,,,20.033,,,,,,,,,,,,,
71.746,,52.078,,,,,,,,,,,,,,,
71.947,,,36.066,,,,,,,,,,,,,,
72.43,70.065,,,,,,,,,,,,,,,,
73.153,,,,,,,,0.164,,,,,,,,,
73.323,,,,21.948,,,,,,,,,,,,,
73.509,,54.038,,,,,,,,,,,,,,,
73.861,,,38.015,,,,,,,,,,,,,,
74.365,72.076,,,,,,,,,,,,,,,,
74.545,,,,,10.005,,,,,,,,,,,,
75.23,,,,,,,1.22,,,,,,,,,,
75.284,,,,,,3.647,,,,,,,,,,,
75.5,,56.031,,,,,,,,,,,,,,,
75.57,,,,23.941,,,,,,,,,,,,,
75.796,,,40.026,,,,,,,,,,,,,,
76.255,74.079,,,,,,,,,,,,,,,,
77.533,,,,,11.963,,,,,,,,,,,,
77.633,,58.047,,,,,,,,,,,,,,,
77.76,,,,25.934,,,,,,,,,,,,,
77.91,,,42.091,,,,,,,,,,,,,,
78.327,76.027,,,,,,,,,,,,,,,,
79.253,,60.018,,,,,,,,,,,,,,,
79.894,,,,27.916,,,,,,,,,,,,,
79.914,,,44.031,,,,,,,,,,,,,,
80.216,78.047,,,,,,,,,,,,,,,,
80.323,,,,,,,,0.837,,,,,,,,,
80.379,,,,,13.967,,,,,,,,,,,,
80.411,,,,,,5.457,,,,,,,,,,,
80.579,,,,,,,1.755,,,,,,,,,,
81.272,,62.012,,,,,,,,,,,,,,,
81.759,,,46.06,,,,,,,,,,,,,,
81.837,79.934,,,,,,,,,,,,,,,,
81.854,,,,30.022,,,,,,,,,,,,,
82.598,,,,,15.937,,,,,,,,,,,,
83.064,,63.971,,,,,,,,,,,,,,,
83.739,,,48.035,,,,,,,,,,,,,,
83.874,,,,31.959,,,,,,,,,,,,,
84.907,,,,,,,,,0.25,,,,,,,,
84.94,,66.044,,,,,,,,,,,,,,,
85.101,,,,,17.998,,,,,,,,,,,,
85.18,,,,,,,2.465,,,,,,,,,,
85.197,,,,,,7.438,,,,,,,,,,,
85.307,,,,,,,,1.271,,,,,,,,,
85.543,,,49.751,,,,,,,,,,,,,,
85.58,,,,33.964,,,,,,,,,,,,,
87.072,,68.105,,,,,,,,,,,,,,,
87.177,,,,,19.968,,,,,,,,,,,,
87.633,,,51.959,,,,,,,,,,,,,,
87.712,,,,36.013,,,,,,,,,,,,,
88.693,,70.031,,,,,,,,,,,,,,,
89.309,,,,,22.018,,,,,,,,,,,,
89.771,,,53.988,,,,,,,,,,,,,,
89.93,,,,,,9.804,,,,,,,,,,,
90.044,,,,38.006,,,,,,,,,,,,,
90.114,,,,,,,3.695,,,,,,,,,,
90.254,,,,,,,,1.762,,,,,,,,,
90.314,,,,,,,,,0.717,,,,,,,,
90.682,,72.114,,,,,,,,,,,,,,,
91.387,,,,,23.932,,,,,,,,,,,,
91.66,,,56.035,,,,,,,,,,,,,,
91.779,,,,40.022,,,,,,,,,,,,,
92.674,,74.017,,,,,,,,,,,,,,,
92.768,,,,,,11.939,,,,,,,,,,,
93.519,,,,,25.982,,,,,,,,,,,,
93.528,,,58.029,,,,,,,,,,,,,,
93.826,,,,42.049,,,,,,,,,,,,,
94.552,,75.966,,,,,,,,,,,,,,,
94.975,,,,,,,5.081,,,,,,,,,,
95.057,,,,,,,,2.225,,,,,,,,,
95.153,,,,,,,,,1.038,,,,,,,,
95.246,,,,,,13.95,,,,,,,,,,,
95.425,,,,,27.941,,,,,,,,,,,,
95.486,,,59.995,,,,,,,,,,,,,,
95.76,,,,43.998,,,,,,,,,,,,,
96.37,,78.049,,,,,,,,,,,,,,,
97.24,,,62.015,,,,,,,,,,,,,,
97.4,,,,,,,6.058,,,,,,,,,,
97.671,,,,,29.979,,,,,,,,,,,,
97.724,,,,,,15.925,,,,,,,,,,,
97.779,,,,46.013,,,,,,,,,,,,,
98.135,,79.919,,,,,,,,,,,,,,,
99.242,,,64.036,,,,,,,,,,,,,,
99.775,,,,,32.029,,,,,,,,,,,,
99.883,,,,48.007,,,,,,,,,,,,,
100.25,,,,,,,,3.043,,,,,,,,,
100.289,,,,,,,7.219,,,,,,,,,,
100.291,,,,,,17.989,,,,,,,,,,,
100.305,,,,,,,,,1.448,,,,,,,,
100.97,,,,,,,,,,0.071,,,,,,,
101.064,,,66.038,,,,,,,,,,,,,,
101.567,,,,,33.955,,,,,,,,,,,,
101.617,,,,50.011,,,,,,,,,,,,,
102.951,,,,,,19.972,,,,,,,,,,,
103.158,,,68.04,,,,,,,,,,,,,,
103.671,,,,,36.016,,,,,,,,,,,,
103.806,,,,52.106,,,,,,,,,,,,,
104.967,,,,,,,,,,0.433,,,,,,,
105.046,,,,,,,,4.003,,,,,,,,,
105.136,,,,,,21.885,,,,,,,,,,,
105.141,,,,,,,,,1.984,,,,,,,,
105.206,,,70.042,,,,,,,,,,,,,,
105.348,,,,,,,9.657,,,,,,,,,,
105.576,,,,,38.032,,,,,,,,,,,,
105.655,,,,54.066,,,,,,,,,,,,,
107.073,,,72.027,,,,,,,,,,,,,,
107.431,,,,,,23.985,,,,,,,,,,,
107.675,,,,56.014,,,,,,,,,,,,,
107.68,,,,,40.025,,,,,,,,,,,,
109.053,,,74.074,,,,,,,,,,,,,,
109.224,,,,,,,11.967,,,,,,,,,,
109.665,,,,57.996,,,,,,,,,,,,,
109.729,,,,,,25.951,,,,,,,,,,,
109.955,,,,,42.085,,,,,,,,,,,,
110.034,,,,,,,,,2.53,,,,,,,,
110.048,,,,,,,,,,0.946,,,,,,,
110.33,,,,,,,,5.843,,,,,,,,,
111.034,,,76.04,,,,,,,,,,,,,,
111.57,,,,60.046,,,,,,,,,,,,,
111.641,,,,,,27.953,,,,,,,,,,,
111.917,,,,,44.09,,,,,,,,,,,,
112.638,,,,,,,13.952,,,,,,,,,,
113.058,,,78.078,,,,,,,,,,,,,,
113.732,,,,62.005,,,,,,,,,,,,,
113.893,,,,,,29.946,,,,,,,,,,,
113.993,,,,,46.061,,,,,,,,,,,,
115.131,,,79.982,,,,,,,,,,,,,,
115.155,,,,,,,15.924,,,,,,,,,,
115.175,,,,,,,,,,1.405,,,,,,,
115.408,,,,,,,,,3.268,,,,,,,,
115.466,,,,64.021,,,,,,,,,,,,,
115.573,,,,,,,,7.968,,,,,,,,,
115.603,,,,,,,,,,,0.02,,,,,,
115.813,,,,,48.032,,,,,,,,,,,,
115.85,,,,,,31.949,,,,,,,,,,,
117.569,,,,66.071,,,,,,,,,,,,,
117.779,,,,,,,17.966,,,,,,,,,,
117.89,,,,,50.002,,,,,,,,,,,,
118.057,,,,,,33.977,,,,,,,,,,,
119.504,,,,67.996,,,,,,,,,,,,,
119.92,,,,,,,,10.022,,,,,,,,,
120.08,,,,,,,19.966,,,,,,,,,,
120.107,,,,,52.074,,,,,,,,,,,,
120.121,,,,,,,,,4.333,,,,,,,,
120.299,,,,,,,,,,2.079,,,,,,,
120.333,,,,,,35.827,,,,,,,,,,,
120.641,,,,,,,,,,,0.42,,,,,,
121.523,,,,70.023,,,,,,,,,,,,,
122.069,,,,,54.113,,,,,,,,,,,,
122.201,,,,,,,21.967,,,,,,,,,,
122.243,,,,,,38.008,,,,,,,,,,,
123.083,,,,,,,,11.993,,,,,,,,,
123.485,,,,72.017,,,,,,,,,,,,,
124.004,,,,,56.039,,,,,,,,,,,,
124.359,,,,,,,23.953,,,,,,,,,,
124.403,,,,,,40.055,,,,,,,,,,,
125.307,,,,,,,,,6.086,,,,,,,,
125.504,,,,74.021,,,,,,,,,,,,,
125.507,,,,,,,,,,,0.842,,,,,,
125.508,,,,,,,,,,3.021,,,,,,,
125.635,,,,,,,,14.007,,,,,,,,,
125.965,,,,,58.054,,,,,,,,,,,,
126.301,,,,,,,25.94,,,,,,,,,,
126.43,,,,,,42.013,,,,,,,,,,,
127.552,,,,76.015,,,,,,,,,,,,,
127.9,,,,,60.014,,,,,,,,,,,,
128.458,,,,,,,27.954,,,,,,,,,,
128.545,,,,,,44.015,,,,,,,,,,,
128.727,,,,,,,,15.964,,,,,,,,,
129.229,,,,78.008,,,,,,,,,,,,,
130.035,,,,,,,,,8.019,,,,,,,,
130.289,,,,,62.041,,,,,,,,,,,,
130.345,,,,,,46.035,,,,,,,,,,,
130.376,,,,,,,,,,4.089,,,,,,,
130.542,,,,,,,,,,,1.4,,,,,,
130.692,,,,,,,,,,,,0.043,,,,,
130.722,,,,,,,30.068,,,,,,,,,,
131.135,,,,79.979,,,,,,,,,,,,,
131.277,,,,,,,,18.077,,,,,,,,,
132.051,,,,,64.091,,,,,,,,,,,,
132.415,,,,,,48.028,,,,,,,,,,,
132.879,,,,,,,32.054,,,,,,,,,,
133.796,,,,,,,,19.949,,,,,,,,,
133.927,,,,,66.073,,,,,,,,,,,,
134.276,,,,,,,,,10.032,,,,,,,,
134.689,,,,,,50.066,,,,,,,,,,,
134.929,,,,,,,34.012,,,,,,,,,,
135.42,,,,,,,,,,5.487,,,,,,,
135.632,,,,,,,,,,,2.115,,,,,,
135.637,,,,,,,,,,,,0.529,,,,,
135.775,,,,,68.078,,,,,,,,,,,,
136.353,,,,,,52.051,,,,,,,,,,,
136.563,,,,,,,,21.963,,,,,,,,,
136.872,,,,,,,35.985,,,,,,,,,,
